"No.","Time","Source","Destination","Protocol","Length","Info"
"586","1.796772","144.196.161.48","192.168.31.102","UDP","85","5004  >  56532 Len=43"
"587","1.797558","192.168.31.102","144.196.161.48","UDP","90","56532  >  5004 Len=48"
"588","1.797619","192.168.31.102","144.196.161.48","RTCP","134","Receiver Report   "
"589","1.811065","192.168.31.102","144.196.161.48","UDP","129","56532  >  5004 Len=87"
"590","1.820342","192.168.31.102","144.196.161.48","RTCP","134","Receiver Report   "
"591","1.828861","192.168.31.102","144.196.161.48","UDP","356","56532  >  5004 Len=314"
"592","1.830863","192.168.31.102","144.196.161.48","UDP","129","56532  >  5004 Len=87"
"593","1.843792","144.196.161.48","192.168.31.102","UDP","85","5004  >  56532 Len=43"
"594","1.843792","144.196.161.48","192.168.31.102","UDP","85","5004  >  56532 Len=43"
"595","1.843792","144.196.161.48","192.168.31.102","UDP","85","5004  >  56532 Len=43"
"596","1.843792","144.196.161.48","192.168.31.102","UDP","122","5004  >  56532 Len=80"
"597","1.843792","144.196.161.48","192.168.31.102","UDP","85","5004  >  56532 Len=43"
"598","1.843792","144.196.161.48","192.168.31.102","UDP","85","5004  >  56532 Len=43"
"599","1.843792","144.196.161.48","192.168.31.102","UDP","1252","5004  >  56532 Len=1210"
"600","1.843792","144.196.161.48","192.168.31.102","UDP","85","5004  >  56532 Len=43"
"601","1.844304","144.196.161.48","192.168.31.102","UDP","85","5004  >  56532 Len=43"
"602","1.850976","192.168.31.102","144.196.161.48","UDP","129","56532  >  5004 Len=87"
"603","1.870986","192.168.31.102","144.196.161.48","UDP","129","56532  >  5004 Len=87"
"604","1.880330","192.168.31.102","144.196.161.48","RTCP","138","Receiver Report   "
"605","1.891028","192.168.31.102","144.196.161.48","UDP","129","56532  >  5004 Len=87"
"606","1.911102","192.168.31.102","144.196.161.48","UDP","129","56532  >  5004 Len=87"
"607","1.911180","192.168.31.102","144.196.161.48","UDP","108","56532  >  5004 Len=66"
"608","1.911212","192.168.31.102","144.196.161.48","UDP","94","56532  >  5004 Len=52"
"609","1.911236","192.168.31.102","144.196.161.48","UDP","90","56532  >  5004 Len=48"
