"No.","Time","Source","Destination","Protocol","Length","Info"
"38","7.043512","192.168.31.1","192.168.31.102","DNS","348","Standard query response 0x2294 A kidsmanagement-pa.googleapis.com A 142.251.43.170 A 142.250.193.106 A 172.217.24.234 A 142.251.43.106 A 216.58.196.106 A 216.58.200.202 A 142.250.77.202 A 142.250.77.234 A 142.250.182.170 A 142.250.192.170 A 172.217.24.74 A 142.250.76.74 A 142.250.194.10 A 142.250.194.42 A 142.251.223.202 A 142.251.223.106"
"39","7.044471","192.168.31.102","142.251.43.170","QUIC","1292","Initial, DCID=eeb97b3a32111994, PKN: 1, CRYPTO, CRYPTO, PING, PING, CRYPTO, CRYPTO"
"40","7.044538","192.168.31.102","142.251.43.170","QUIC","1292","Initial, DCID=eeb97b3a32111994, PKN: 2, PING, PING, PING, CRYPTO, CRYPTO, CRYPTO"
"41","7.045832","192.168.31.102","142.251.43.170","QUIC","120","0-RTT, DCID=eeb97b3a32111994"
"42","7.085518","142.251.43.170","192.168.31.102","QUIC","82","Initial, SCID=eeb97b3a32111994, PKN: 1, ACK"
"43","7.085518","142.251.43.170","192.168.31.102","QUIC","1292","Initial, SCID=eeb97b3a32111994, PKN: 2, ACK, PADDING"
"44","7.132098","192.168.31.102","142.251.43.170","QUIC","1292","Initial, DCID=eeb97b3a32111994, PKN: 5, PADDING, PING, PADDING"
"45","7.163470","142.251.43.170","192.168.31.102","QUIC","1292","Initial, SCID=eeb97b3a32111994, PKN: 3, CRYPTO, PADDING"
"46","7.166357","192.168.31.102","142.251.43.170","QUIC","1292","Initial, DCID=eeb97b3a32111994, PKN: 6, ACK, PADDING"
"47","7.167672","fe80::16ac:60ff:fee8:449b","ff02::1","ICMPv6","150","Router Advertisement from 14:ac:60:e8:44:9b"
"48","7.180803","142.251.43.170","192.168.31.102","QUIC","991","Protected Payload (KP0)"
"49","7.180803","142.251.43.170","192.168.31.102","QUIC","343","Protected Payload (KP0)"
"50","7.180803","142.251.43.170","192.168.31.102","QUIC","94","Protected Payload (KP0)"
"51","7.180803","142.251.43.170","192.168.31.102","QUIC","66","Protected Payload (KP0)"
"52","7.181176","192.168.31.102","142.251.43.170","QUIC","151","Protected Payload (KP0), DCID=eeb97b3a32111994"
"53","7.181378","192.168.31.102","142.251.43.170","QUIC","746","Protected Payload (KP0), DCID=eeb97b3a32111994"
"54","7.193098","142.251.43.170","192.168.31.102","QUIC","1292","Initial, SCID=eeb97b3a32111994, PKN: 9, ACK, CRYPTO, PADDING"
"55","7.219046","142.251.43.170","192.168.31.102","QUIC","162","Protected Payload (KP0)"
"56","7.219291","192.168.31.102","142.251.43.170","QUIC","76","Protected Payload (KP0), DCID=eeb97b3a32111994"
"57","7.220196","142.251.43.170","192.168.31.102","QUIC","71","Protected Payload (KP0)"
"58","7.220367","192.168.31.102","142.251.43.170","QUIC","75","Protected Payload (KP0), DCID=eeb97b3a32111994"
"59","7.360902","142.251.43.170","192.168.31.102","QUIC","377","Protected Payload (KP0)"
"60","7.360902","142.251.43.170","192.168.31.102","QUIC","111","Protected Payload (KP0)"
"61","7.361148","192.168.31.102","142.251.43.170","QUIC","79","Protected Payload (KP0), DCID=eeb97b3a32111994"
"62","7.361203","192.168.31.102","142.251.43.170","QUIC","75","Protected Payload (KP0), DCID=eeb97b3a32111994"
"63","7.389417","192.168.31.102","192.168.31.1","DNS","75","Standard query 0xfcb2 A ssl.gstatic.com"
"64","7.389548","192.168.31.102","192.168.31.1","DNS","75","Standard query 0x8c55 HTTPS ssl.gstatic.com"
"65","7.409418","142.251.43.170","192.168.31.102","QUIC","66","Protected Payload (KP0)"
"66","7.416429","192.168.31.1","192.168.31.102","DNS","91","Standard query response 0xfcb2 A ssl.gstatic.com A 172.217.167.227"
"67","7.422024","192.168.31.1","192.168.31.102","DNS","132","Standard query response 0x8c55 HTTPS ssl.gstatic.com SOA ns1.google.com"
"68","7.423122","192.168.31.102","172.217.167.227","QUIC","1292","Initial, DCID=08d1d323a3a58e52, PKN: 1, PING, PADDING, PING, PADDING, PING, CRYPTO, CRYPTO, CRYPTO, CRYPTO, PING, PING, CRYPTO, PING, CRYPTO, PING, CRYPTO, PADDING"
"69","7.423178","192.168.31.102","172.217.167.227","QUIC","1292","Initial, DCID=08d1d323a3a58e52, PKN: 2, PING, CRYPTO, CRYPTO, CRYPTO, CRYPTO, CRYPTO, CRYPTO, PADDING, CRYPTO, PADDING, CRYPTO, PADDING, PING, CRYPTO, PING, CRYPTO"
"70","7.424067","192.168.31.102","172.217.167.227","QUIC","118","0-RTT, DCID=08d1d323a3a58e52"
"71","7.424212","192.168.31.102","172.217.167.227","QUIC","731","0-RTT, DCID=08d1d323a3a58e52"
"72","7.460766","172.217.167.227","192.168.31.102","QUIC","82","Initial, SCID=e8d1d323a3a58e52, PKN: 1, ACK"
"73","7.500249","192.168.31.102","172.217.167.227","QUIC","1292","Initial, DCID=e8d1d323a3a58e52, PKN: 6, CRYPTO, CRYPTO, PING, PING, PADDING, PING, PADDING, PING, PING, PING, CRYPTO, PING, PADDING, CRYPTO, PING, CRYPTO, PING, CRYPTO, CRYPTO, PING, CRYPTO, CRYPTO, CRYPTO"
"74","7.527850","172.217.167.227","192.168.31.102","QUIC","1292","Initial, SCID=e8d1d323a3a58e52, PKN: 2, ACK, PADDING"
"75","7.534633","172.217.167.227","192.168.31.102","QUIC","1292","Initial, SCID=e8d1d323a3a58e52, PKN: 3, CRYPTO, PADDING"
"76","7.534633","172.217.167.227","192.168.31.102","QUIC","335","Protected Payload (KP0)"
"77","7.534633","172.217.167.227","192.168.31.102","QUIC","986","Protected Payload (KP0)"
"78","7.534633","172.217.167.227","192.168.31.102","QUIC","67","Protected Payload (KP0)"
"79","7.535330","192.168.31.102","172.217.167.227","QUIC","120","Handshake, DCID=e8d1d323a3a58e52"
"80","7.535418","192.168.31.102","172.217.167.227","QUIC","73","Protected Payload (KP0), DCID=e8d1d323a3a58e52"
"81","7.539241","172.217.167.227","192.168.31.102","QUIC","64","Protected Payload (KP0)"
"82","7.562927","172.217.167.227","192.168.31.102","QUIC","1292","Initial, SCID=e8d1d323a3a58e52, PKN: 9, ACK, CRYPTO, PADDING"
"83","7.562927","172.217.167.227","192.168.31.102","QUIC","162","Protected Payload (KP0)"
